歌名,专辑名,歌词,演唱,作词,作曲,编曲,分享数,评论数
传说MV,神秘嘉宾,"
				刘力扬&林宥嘉 - 传说
专辑:传说
词:施人诚 曲:郑楠

刘:宇宙洪荒那时候
第一句爱是谁说出口
当时的他 如何形容
对方 听懂不懂

林:开天辟地了以后
第一对恋人什么结果
洞穴湖泊 日升月落
他们 爱了多久

林:如果我们那时就相遇
会不会爱得比较放心
林&刘:也许分离 还没被发明
来折磨爱情

林:一千次轮回都不错过
刘:一万里相随都不放手
林&刘:在每个尽头 再约好碰头
再睁开眼 就认出你我

刘:一千次轮回足不足够
林:一万里漂泊又算什么
林&刘: 这人海辽阔 爱总被蹉跎
总该留一篇传说

刘:宇宙洪荒那时候
第一句爱是谁说出口
当时的他 如何形容
对方 听懂不懂

林:开天辟地了以后
第一对恋人什么结果
洞穴湖泊 日升月落
他们 爱了多久

林:如果我们那时就相遇
会不会爱得比较放心
林&刘:也许分离 还没被发明
来折磨爱情

林:一千次轮回都不错过
刘:一万里相随都不放手
林&刘:在每个尽头 再约好碰头
再睁开眼 就认出你我

刘:一千次轮回足不足够
林:一万里漂泊又算什么
林&刘: 这人海辽阔 爱总被蹉跎
总该留一篇传说

林&刘:我会尽我全力 抵抗时间的侵袭
不停的爱你 HOHO......

林:一千次轮回都不错过
刘:一万里相随都不放手
林&刘:在每个尽头 再约好碰头
再睁开眼 就认出你我

刘:一千次轮回足不足够
林:一万里漂泊又算什么
林&刘: 这人海辽阔 爱总被蹉跎
总该留一篇传说

刘:OH 还好我有你
林:幸好你有我
林&刘:一起写一篇传说
				",林宥嘉,施人诚,郑楠,,2985,1084
"背影电视剧《斗牛, 要不要》插曲",神秘嘉宾,"
				背影
林宥嘉

作词：蓝小邪
作曲：关大洲

三公分阳光 
三公分空气 
堵在眼前像一面玻璃 
挡住了你表情 
剩下只有脚印 
一直向前走 
走不完距离 
一直向后 退不出回忆 
很高兴有心事 
帮我困住自己 
你头发上淡淡青草香气 
变成了风才能和我相遇 
你的目光 蒸发成云 
再下成雨我才能够靠近 
感谢我不可以 
住进你的眼睛 
所以才能 拥抱你的背影 
有再多的遗憾 
用来牢牢记住 
不完美的所有美丽 
感谢我不可以 
拥抱你的背影 
所以才能 变成你的背影 
躲在安静角落 不用你回头看 
不用珍惜 

我怀里所有温暖的空气 
变成风也不敢和你相遇 
我的心事 蒸发成云 
再下成雨却舍不得淋湿你 
感谢我不可以 
住进你的眼睛 
所以才能 拥抱你的背影 
有再多的遗憾 
用来牢牢记住 
不完美的所有美丽 
感谢我不可以 
拥抱你的背影 
所以才能 变成你的背影 
躲在安静角落 不用你回头看 
不用珍惜 
感谢我不可以 
拥抱你的背影 
所以才能 变成你的背影 
躲在安静角落 如果你回头看 
不用在意
				",林宥嘉,蓝小邪,关大洲,洪信杰,41139,5522
你是我的眼,神秘嘉宾,"
				如果我能看得见
就能轻易的分辨白天黑夜
就能准确的在人群中牵住你的手
如果我能看得见
就能驾车带你到处遨游
就能惊喜的从背后给你一个拥抱
如果我能看得见
生命也许完全不同
可能我想要的我喜欢的我爱的
都不一样
眼前的黑不是黑
你说的白是什么白
人们说的天空蓝
是我记忆中那团白云背后的蓝天
我望向你的脸
却只能看见一片虚无
是不是上帝在我眼前遮住了帘
忘了掀开
你是我的眼 带我领略四季的变换
你是我的眼 带我穿越拥挤的人潮
你是我的眼 带我阅读浩瀚的书海
因为你是我的眼
让我看见 这世界就在我眼前
眼前的黑不是黑
你说的白是什么白
人们说的天空蓝
是我记忆中那团白云背后的蓝天
我望向你的脸
却只能看见一片虚无
是不是上帝在我眼前遮住了帘
忘了掀开
你是我的眼 带我领略四季的变换
你是我的眼 带我穿越拥挤的人潮
你是我的眼 带我阅读浩瀚的书海
因为你是我的眼
让我看见这世界就在我眼前
你是我的眼 带我领略四季的变换
你是我的眼 带我穿越拥挤的人潮
你是我的眼 带我阅读浩瀚的书海
因为你是我的眼
让我看见这世界就在我眼前
				",林宥嘉,萧煌奇,萧煌奇,洪筠惠,13458,2273
思凡MVCaptain S.V,大小说家,"
				思凡  - 林宥嘉 
 原来他们还不会控制情感 
 也还没破解如何死去活来 
 不过大脑所产生的悲哀 
 好像能让愉快更痛快 
 保持最佳的气候是有多难 
 这里竟然还会有四季变换 
 但所谓雪花比记载更好看 
 我一定要尽快调查明白 
 这落后星球魅力何在 
 早该返航的队长怎么会不愿离开 
 我们早进化到完美状态 
 为何还会迷恋平凡 
 难道生命没缺陷 
 反而是一种缺憾 
 简陋的血肉之躯非常脆弱 
 却又比铜头铁臂多点温暖 
 莫非生命就是要很短暂 
 才能明白时间多需在 
 地球上看我星像一粒尘埃 
 若人类发现该多兴奋崇拜 
 我们派来的却不肯再回来 
 我一定要尽快调查明白 
 这落后星球魅力何在 
 早该返航的队长怎么会不愿离开 
 我们早进化到完美状态 
 为何还会迷恋平凡 
 难道生命没缺陷 
 反而是一种缺憾 
 我想我慢慢地终于明白 
 这落后星球有多可爱 
 好想好想学队长勇敢地不再离开 
 我们越进化到完美状态 
 越会更加迷恋平凡 
 那些不完美生命怎么会还看不开
				",林宥嘉,蓝小邪,Jerry C,Jerry C,15953,2348
Runaway Mama,大小说家,"
				她惺忪着眼袋 帮宝贝 穿好制服
时候到去阳台 帮老公 晒 四角内裤
一边预录选秀节目 一边逛逛脸书 熬过发霉的下午
她注视着火炉 忽然间 梦 历历在目

从前有位少女 她快乐 在漫舞

Runaway runaway runaway义无反顾 yeah
打翻了酱醋 丢抹布 她要爬出坟墓
远处漫天华丽云朵 在飘浮 yeah
Runaway runaway她跳出新 旅途

她毅然放下屠刀 不当谁 万能的师奶
脱下了围裙 为自己 绑上了芭蕾舞鞋带
她的舞步自成一派 她 管他如何冷眼看待 只为了自己而旋转 喔 
他终于要 跟她摊牌 嘿 最好给我回来 这 地狱厨房 别 妄想舞台 嘿 嘿 喔

她迎着 暴烈的风雨 在漫舞

Runaway runaway runaway义无反顾 yeah
一个人摸黑 忍着泪 她要穿越迷雾 
天边星宿就像梦想 在飞舞 yeah
Runaway runaway runaway runaway runaway 不再害怕wu

听着梦的配乐 她昂首 在漫舞

Runaway runaway runaway 义无反顾yeah
她终于找回 她是谁 继续这场演出
远处太多良辰美景 要追逐 yeah
Runaway runaway 你为了谁 赶路

制作：Skot Suyama (陶山)
吉他 & 贝斯：Skot Suyama (陶山)
鼓：Murray Sheridan, recorded at 3 Monkeys Music, Sydney, Australia 
和声：林宥嘉
录音室：[Skot's House] 陶山录音室
混音：Brian Paturalski
OP：HIM Music Publishing Inc.
OP：Tao Shan Music Co. , Ltd. 陶山音乐有限公司 
SP：Sony Music Publishing (Pte) Ltd. Taiwan Branch
ISRC-TW-D95-12-34102
				",林宥嘉,陈信延,Skot Suyama (陶山),Skot Suyama (陶山),4388,1070
越反越爱MVRomeo and Juliet Syndrome,大小说家,"
				被驱逐的天堂 坠落的太阳
被践踏的梦想 不屑求原谅
我的倔强 死命保护妳的倔强
冲破了围墙

谁肤浅地叫嚷 痛批太荒唐
我同情他从未 被真爱看上
不怕对抗 警告只让我更渴望
狂舞着翅膀

让他们 让他们 排山倒海
封锁和破坏
看着妳 看着我 攀过悬崖
越被反对越爱

让他们 让他们 自认关怀
不承认迫害
看着妳 看着我 亲吻未来
越反对越爱

为妳受的冤枉 都不算疯狂
只有妳的善良 能让我悲伤
别再凝望 用那样的心疼眼光
我必须顽强


制作人：王治平/林宥嘉
电吉他：韩立康 Bass：程杰 Drums：赖圣文 弦乐编写：蔡曜任 
小提琴：王心为
和声编写:王治平/林宥嘉
和声:林宥嘉
执行制作:张简君伟
录音师：马丁/郑皓文/伊勖贤
录音室：华研猛蛋录音室/Lights up studio/大小眼录音室
混音录音师：Craig Burbidge
混音录音室：After Shock studio, LA
OP：Great Music Publishing Ltd.
OP：HIM Music Publishing Inc.
ISRC-TW-D95-12-34103
				",林宥嘉,姚若龙,郑楠,韩立康,3266,1068
浪费MVUnrequited,大小说家,"
				多久了 我都没变
爱妳这回事 整整六年
妳最好 做好准备
我没有打算 停止一切

想说我没有志愿
也没有事情好消遣
有一个人能去爱 多珍贵

没关系妳也不用给我机会
反正我还有一生可以浪费
我就是剩这么一点点倔 称得上 我的优点

没关系妳也不用对我惭愧
也许我根本喜欢被妳浪费
随便妳今天拼命爱上谁 我都会 坦然面对
即使要我跟妳再耗个十年 无所谓

妳和他 没有如愿 
短短半年内 开始分裂
我的爱 依旧没变
连我自己都 对我钦佩

有的是很多资源
我有的是很多时间
不去爱才是浪费 多不对

没关系妳也不用给我机会
反正我还有一生可以浪费
我就是剩这么一点点倔 称得上 我的优点

没关系妳也不用对我惭愧
也许我根本喜欢被妳浪费
就算我再去努力爱上谁 到头来 也是白费
不如永远跟妳耗 来得快乐 对不对


制作人：王治平/林宥嘉  
和声编写：王治平
和声：林宥嘉
尼龙吉他：舒喆  电吉他：宋奕增
Drums：黄显忠 Bass:宁子达
执行制作：张简君伟
录音师： 马丁,柯宗佑
录音室：华研猛蛋录音室/Lights up studio
混音录音师：Craig Burbidge
混音录音室：After Shock studio, LA
OP：HIM Music Publishing Inc.
ISRC-TW-D95-12-34104
				",林宥嘉,陈信延,郑楠,张晁毓,171021,30135
诱MVLure,大小说家,"
				林宥嘉 

 诱

 作词：施人诚
 作曲：JerryC

 这种笑容我没见过
 妳是不是在暗示什么
 眼神这样算不算秋波
 那是线索 还是告诉我千万别想太多

 像颗糖 好诱惑 甜到梦里有粉红 小花朵
 一朵一朵慢动作(在)飘落

 像杯酒 太诱惑 琥珀色的安乐窝 摇晃我
 好想醉倒在妳怀中

 终于体会暗香流动
 原来就是妳发梢的风
 原谅我的词汇不够用
 无法形容 妳是怎么样把我卷进漩涡

 Dalalalala darling 好想把妳拥入怀中

 林宥嘉-诱
 作词：施人诚 作曲：Jerry C
 这种笑容我没见过
 妳是不是在暗示什么
 眼神这样算不算秋波
 那是线索
 还是告诉我千万别想太多
 像颗糖 好诱惑
 甜到梦里有粉红
 小花朵
 一朵一朵慢动作飘落
 像杯酒 太诱惑
 琥珀色的安乐窝
 摇晃我
 好想醉倒在妳怀中

 终于体会暗香流动
 原来就是妳发梢的风
 原谅我的词汇不够用
 无法形容
 妳是怎么样把我卷进漩涡
 像颗糖 好诱惑
 甜到梦里有粉红
 小花朵
 一朵一朵慢动作飘落
 像杯酒 太诱惑
 琥珀色的安乐窝
 摇晃我
 好想醉倒在妳怀中

 Dalalalala
 像颗糖 好诱惑
 甜到梦里有粉红
 小花朵
 一朵一朵慢动作在飘落
 像杯酒 太诱惑
 琥珀色的安乐窝
 摇晃我
 好想醉倒在妳怀中

 Dalalalala
 Darling
 好想把妳拥入怀中
				",林宥嘉,施人诚,JerryC,JerryC,21001,2534
周末夜惊魂Saturday Night Fright,大小说家,"
				林宥嘉 - 周末夜惊魂 
 我走在像地狱的月台 
 耳边汗毛有风吹过来 
 我知道你在七步之外 
 埋伏着 准备要 追过来 
 我逃回十五坪的凶宅 
 听着像安魂曲的钟摆 
 我躲进被窝脸上发白 
 等待着 午夜后 你到来 
 可不可以请你好心放过我 不要杀我 
 可不可以请你好心放过我 不要搞我 
 好不容易撑过了 忙碌一周 
 一不小心又来到 恐怖周末 
 我不知道这时候 有什么事情 能够填充 
 你终于趁十二点到来 勒住我脖子哭不出来 
 七天内总有一天会来紧随着 像咒怨 不能甩 
 亲朋好友都置身事外 没有我的世界更精彩 
 拜托谁赐我一句关怀 好让我 再投胎活过来 
 可不可以请你好心放过我 不要杀我 
 可不可以请你好心放过我 不要搞我 
 不要这样放任噩梦去行凶 
 不要这样再次中寂寞阴谋 
 不要这样虐待我 我又没有 做错过什么 
 我 无力抵抗 你的暴力是张温床 
 喔 要怎样 才能逃离逃离你的魔掌 
 难道要我就范 
 可不可以请你好心放过我 不要杀我 
 可不可以请你好心放过我 不要搞我 
 好不容易撑过了 忙碌一周 
 一不小心又来到 恐怖周末 
 我不知道这时候 有什么事情 能够填充 
 不要这样虐待我 我又没有 做错过什么
				",林宥嘉,陈信延,杨子朴,卢家宏,951,1061
4号病房The Written Notes of Patient No. 4,大小说家,"
				那对红眼每隔两秒会放箭  
那边谁刚换上人形的假面
那颗心如钢铁 那颗心剩一半  
怎么没人看见

我会乖乖吃药别放我出去  隔着墙已听见外面好多鬼
迫不及待等我 变成他们同类  我才不要叛变

信我 有鬼 正在摧毁人类
信我 有鬼 这种天机吃药前只能说一遍

蜘蛛正要告诉我谁是内奸  
就被护士假装不小心踩扁
医生眉头有只 狸猫昏昏欲睡  
相信他也沦陷

邻床那位准备好出去应战  
临走前对我说要听话一点
我又不是傻子 我比谁都明白   
这里比外面安全

信我 有鬼 正在摧毁人类
信我 有鬼 它们看起来和人没分别
信我 有鬼 就快要占领整个世界
信我 有鬼 这种天机吃药前只能说一遍

信我 有鬼 就在你心里面
信我 有鬼 拼命制造着华丽的幻觉
信我 有鬼 让你爱上这荒唐世界
信我 有鬼 让你以为我才是疯子对不对


制作人:王治平/林宥嘉
电吉他/木吉他：韩立康
Bass：程杰
Drums：赖圣文
Cello：张道文
和声编写:王治平
和声:林宥嘉
执行制作:张简君伟
录音师： 马丁/郑皓文/陈以霖
录音室：华研猛蛋录音室/Lights up studio
混音师 : 樊乃钢
混音录音室:有禾录音室
OP：HIM Music Publishing Inc.
OP：EMI MUSIC PUBLISHING (S.E.ASIA) LTD.,TAIWAN BRANCH
ISRC-TW-D95-12-34107
				",林宥嘉,蓝小邪,霓虹木,韩立康,3550,1065
勉强幸福MVFools' Bliss,大小说家,"
				感谢妳记得我的生日  却好像忘了为谁庆祝
那些唱片他可能喜欢  妳是否送错礼物 

妳问我要多少支蜡烛  还想要什么样的祝福
这蛋糕那么甜  妳一定做得很辛苦

我就是爱妳傻乎乎    谁在乎
因为我们一样的胡涂
介意不来    只有配合演出
所以我只能笑    不能哭
难得妳不觉得屈辱  陪我一起    品尝这勉强的幸福	

享受着他钟情的音乐  欣赏着妳一脸的满足
妳说我神情有点恍惚  我说听得太投入

在这终身难忘的生日  不知道谁更铭心刻骨
我还真舍不得  结束这浪漫的错误

妳只是爱得傻乎乎    谁在乎
因为我们一样的胡涂
介意不来    只有配合演出
不管多勉强只能笑    不能哭
难得妳还没弄清楚  陪我一起    品尝这勉强的幸福	


制作人：吕祯晃、郭文宗、林宥嘉  和声编写：郭文宗
和声：林宥嘉
吉他:JerryC   Drums:陈柏州  
小提琴:黄伟骏  中提琴: 叶棣绮   
大提琴:张道文
制作助理：樊哲忠
录音师：马丁、张蕴源
录音室：华研猛蛋录音室、强力录音室
混音录音师：杨大纬
混音录音室：杨大纬录音室
OP：EMI MUSIC PUBLISHING (S.E.ASIA) LTD.,TAIWAN BRANCH
OP：HIM Music Publishing Inc.
ISRC-TW-D95-12-34108
				",林宥嘉,林夕,郑楠,Jerry C,21282,3547
傻子MVFool,大小说家,"
				等爱的人很多
不预设你会在乎我
难道一生的时间
都用来换 和你一个误会

谁能真的让谁
幸福到故事的结尾
何必那么的慌张
有时清醒 才是错误的开始

我不需要 也不重要
做一个傻子多么好
我不明白 也不需要明白
就让我这样到老 (就很好)

没什么紧要
只需要你轻轻一个拥抱
就算不留下什么也无所谓
就算留下了什么也都珍贵
珍贵 珍贵

做傻子多么好
我不明白 也不需要明白
就让我这样到老 这样到老


制作人：陈建骐
弦乐编写：罗恩妮
吉他：徐千秀
鼓：赖圣文
Bass：黄少雍
和声编写、演唱：林宥嘉
小提琴﹕苏子茵 / 蔡耿铭 / 张誉耀 / 陈怡廷
中提琴﹕何君恒 / 苏子茵 / 杨凯宁
大提琴﹕吕超伦 / 黄日升 / 刘涵
录音室：强力录音室 / Lights up studio
录音工程师：陈志翔 / 郑皓文
混音录音室：有禾录音室
混音工程师：樊乃纲

OP：HIM Music Publishing Inc.
ISRC-TW-D95-12-49101
				",林宥嘉,郑楠 / 张鹏鹏,郑楠,徐千秀,103112,10515
拾荒MVVulture,大小说家,"
				拾别人心碎的荒
织一串美丽的谎 
赚人热泪 占据畅销排行 

那些伤越是辛酸
情节越曲折刁钻
疗效越强 人们就爱这样

都对我崇拜
都为我疯狂
单凭想象 捏造雷同的 遗憾
哭完就算 谁管作者的 孤单 

将沉默暗淡的疤
渲染出鲜艳的画
好让渴望 得以靠近希望

有些痛越是隐瞒
梦醒发作越野蛮
天就快亮 埋头驱赶空荡  

都对我崇拜
都为我疯狂
任凭寂寞 躲进故事里 纠缠
如有泛滥 请成全我的 妄想  

谁让我受伤
谁为我拾荒
我的完整 全赖别人的 荒唐
我的灿烂 竟然跟自己 无关


制作人：王治平/林宥嘉 
和声编写：王治平
执行制作：张简君伟
和声：林宥嘉
录音师： 马丁
录音室：华研猛蛋录音室
混音录音师：Craig Burbidge
混音录音室：After Shock studio, LA
OP：HIM Music Publishing Inc.
ISRC-TW-D95-12-34109
				",林宥嘉,徐旻铃,金哲,Jerry C,5235,1435
Syrup,大小说家,"
				Syrup 

All Music, by Yoga Lin 
Lyrics, by Yoga Lin , Joanna Wang

Once upon, a sunny day

You made an oath for this love

I never tried believing

if you'd ever stray from this love

Never dare to leave me

if you did, you did for this love

This I know, I know it so

Though I can't bare to be provoked


Oh I know you're a sweet good girl,

The best in all the world

Baby please, and baby please we can get down

We can get down 

Sorry once again

Baby please, and baby please we can get down

We can get down

Sorry once again

Though you've gone, go on and try be with, anybody else

But ,no one will ever love you

They will see you through and through

Oh I know you're a sweet good girl,

The best in all the world

Baby please, and baby please we can get down

We can get down 

Sorry once again

Baby please, and baby please we can get down

You'll come around

Sorry once again

You're my sweet good girl,

The best in all the world

Baby please, and baby please we can get down

We can get down 

Sorry once again

Baby please, and baby please we can get down

You'll come around

Or you'll be sorry, sorry once again

na na na ..... 

sorry once again ，once once once again
				",林宥嘉,Yoga Lin,Yoga Lin,Yoga Lin,616,1053
