歌名,专辑名,歌词,演唱,作词,作曲,编曲,分享数,评论数
人车志 (Live),DUO 陈奕迅2010演唱会,"
				人车志

作词：黄伟文
作曲：Jerald
编曲：Eric Kwok,Jerald

大银幕相当广阔
在投射出　想去的地方
面前是双探路灯
都市黑了　我在马路发光

出去一下 还在戒烟 还用买烟吗
出去一下 原来为见一见它
出去一下 瞒着太太 才独处一下
出去一下 如宁静处非我家

我有车 我有压抑 需要发射
我与车 结合一体 感觉快些
我爱车 似个圣堂 开到半夜
跳上车 对着表板祷告那些难题
想想 如何 转弯 攀山 落斜

任由电窗敞开了
任由乐曲　都市中迥响
面庞上的那阵风
感觉爽快　决定笑着冻僵

出去一下 留下了手提在公司吗
出去一下 原来为见一见它
出去一下 人若间中能独处一下
整理一下 才能自我修正吗

我有车 我有压抑 需要发射
我与车 结合一体 感觉快些
我爱车 似个圣堂 开到半夜
跳上车 对着表板祷告那些难题
想想 如何 转弯 攀山 落斜

我有车 我有压抑 需要发射
我与车 结合一体 感觉快些
我爱车 似个圣堂 开到半夜
跳上车 对着表板祷告那些难题
想想 如何 转弯 攀山 落斜

我有车 我有压抑 需要发射
我要些 过渡空间 给我煞车
我爱车 似个圣堂 开到半夜
跳上车 对着表板祷告那些难题
想想 如何 转弯 攀山 落斜
				",陈奕迅,黄伟文,Jerald,"Eric Kwok,Jerald",118,42
裙下之臣 (Live)MV,DUO 陈奕迅2010演唱会,"
				裙下之臣(粤)
作曲：Alex San(辛伟力)
填词：黄伟文
编曲：Alex San(辛伟力)
监制：Davy Chan、C.Y.Kong、陈奕迅
演唱：陈奕迅
陈奕迅-裙下之臣(粤)
danfeng927制作
抬头望长裙下的风
连幻想的质感都一样柔润
无论雪纺或丝绒
同样诱发过我那一秒悸动
从未敢每个亦吻
却对每一个的欲望无憾
热血在腾大概每个人
不只喜欢一个女人
让那飘呀飘呀的裙
挑惹起战争
赐予世界更丰富爱恨
让那摆呀摆呀的裙
臣服百万人
对你我崇拜得太过份
为那转呀转呀的裙
死我都庆幸
为每个婀娜的化身
每袭裙穷一生作侍臣
横蛮善变柔弱天真
全是她不可解的魔术成份
纯白淡色或缤纷
裙下永远有个秘辛要探问
其实想每个亦吻
理智制止我冲动地行近
热血在腾问哪里有人
一生只得一个女人
　
我要赞美上帝
活着就是无乐趣
也胜在有女人
今生准许我裙下尽责任
忙于心软与被迷魂
流连淑女群烈女群
为每人动几秒心
可爱的女人
赐予你我刺激与震撼
凡士气下沉
赐我理由再披甲上阵
赐我理由再披甲上阵
				",陈奕迅,"SAN, ALEX / 黃, 偉文",,,268,63
陀飞轮 (Live)MV,DUO 陈奕迅2010演唱会,"
				过去十八岁 没戴表 不过有时间
够我 没有後顾 野性贪玩
霎眼廿七岁 时日无多 方不敢偷懒
宏愿纵未了 奋斗总不太晚

然後突然今秋 望望身边 应该有 已尽有
我的美酒 跑车 相机 金表 也讲究
直到世间 个个也妒忌 仍不怎麽富有
用我尚有 换我没有 其实已 用尽所拥有

曾付出几多心跳 来换取一堆堆的发票
人值得 命中减少几秒 多买一只表
秒速 捉得紧了 而皮肤竟偷偷松了
为何用到尽了 至知哪样紧要

劳力是 无止境 活着多好 不需要 靠物证
也不以高薪 高职 高级品 搏尊敬 wo~
就算搏到 伯爵那地位 和萧邦的隽永
卖了任性 日拼夜拼 忘掉了为甚麽高兴

曾付出几多心跳 来换取一堆堆的发票
人值得 命中减少几秒 多买一只表
秒速 捉得紧了 而皮肤竟偷偷松了
为何用到尽了 至知哪样紧要

记住那 关於光阴的教训
回头走 天已暗
你献出了十寸 时和分
可有换到十寸金

还剩低几多心跳 人面跟水晶表面对照
连自己 亦都分析不了 得到多与少
也许真的疯了 那个倒影多麽可笑
灵魂若变卖了 上链也没心跳

银或金都不紧要 谁造机芯 一样了
计划了 照做了 得到了 时间却太少 no~
还剩低几多心跳 还在数赶不及了
昂贵是这刻 我觉悟了
在时计里 看破一生 渺渺
				",陈奕迅,黄伟文,Vincent Chow,Gary Tong,2113,406
沙龙 (Live)MV,DUO 陈奕迅2010演唱会,"
				沙龙 - 陈奕迅 

作曲： 陈奕迅 
填词： 黄伟文 
编曲： 唐奕聪/Davy Chan/C Y Kong 
监制： Stanley Leung/陈奕迅/Davy Chan/C Y Kong

对焦 她的爱
对慢了 爱人会失去可爱 
记低 这感慨
世事变 有没有将你淹盖 
只一格 经典的偶遇已 不再
尽量框住目前大概 

留住 温度 速度 温柔和愤怒
凝住 今日 怎样 好 
捉紧 生命浓度 坦白流露 感情和态度 
留下 浮光 掠影 飞舞 

每张 都罕有 拍下过 记住过 好过拥有
光圈爱漫游 眼睛等色诱
有人性 镜头里总有丰收 
虽则那 即影即有售罄 菲林都已拆走
但是冲动用完 又再有 

留住 温度 速度 温柔和愤怒
凝住 今日 怎样 好 
捉紧 生命浓度 坦白流露 感情和态度 
停下时光 静止衰老 

登高峯一秒 得奖一秒 再破纪录的一秒 
港湾晚灯 山顶破晓 摘下怀念 记住美妙 
升职那刻 新婚那朝 成为父母的一秒 
要拍照的事 可不少 

音乐 话剧 诗词和舞蹈
揉合 生命 千样好 摄入相部 
绚烂如电 虚幻如雾 哀愁和仰慕 
游乐人间 活得好 谈何容易 
拍着照片 一路同步 坦白流露 感情和态度 
其实 人生并非虚耗
何来尘埃飞舞
				",陈奕迅,"陳, 奕迅 / 黃, 偉文",,,961,172
葡萄成熟时 (Live)MV,DUO 陈奕迅2010演唱会,"
				17.葡萄成熟时（陈奕迅duo 2010演唱会）

作曲:Vincent chow /anfernee cheung l

填词:黄伟文l 编曲：adrian chanl 监制

差不多冬至

一早一 晚还是有雨

当初的坚持

现已令你很怀疑  很怀疑

你最尾等到 只有这枯枝

苦恋几多次悉心栽种全力灌注

所得竟不如 别个後辈收成时

这一次你真的很介意

但见旁人谈情何引诱

问到何时葡萄先熟透

你要静候 再静候

就算失收始终要守

日後 尽量别教今天的泪白流

留低 击伤你的石头

从错误里吸收

也许 丰收 月份尚未到你也得接受

或者要到你将爱酿成醇酒时机先至熟透

应该怎麼爱

可惜书里从没记载 终於摸出来

但岁月却不回来 不回来

错过了春天 可会再花开

一千种恋爱

一些需要情泪灌溉枯毁的温柔

在最後会长回来

错的爱 乃必经的配菜

 想想天的一边

亦有个某某 在等候

哦～

耶～耶～～

一心只等葡萄熟透 嚐杯酒

喔～喔

别让寂寞害你伤得一夜白头

赢得不需要的自由 和最耀眼伤口

我知 日後 路上或没有更美的邂逅

但当你智慧都蕴酿成红酒

仍可一醉自救

谁都心酸过那个没有

End

End
				",陈奕迅,黃偉文,Vincent Chow / Anfernee Cheung],adrian chan,1297,260
Medley: 热辣辣 / 反斗星 / 头发乱了 / 好戏在后头 (Live),DUO 陈奕迅2010演唱会,"
				陈奕迅
Medley: 热辣辣/反斗星/
头发乱了/好戏在后头
Duo 陈奕迅2010演唱会
热辣辣(张国荣)
昨夜她穿着黑丝袜进我梦 
梦中音乐颇冲动

她扭出火花对我说话
我这晚热辣辣YA YA
你这晚热辣辣 HE YA
趁节拍热辣辣YA YA 
拥抱我身起舞吧
她的嘴巴低呼好吗跳吗 
她使身心不懂招架
她的细腰涌出汹涌拍子 
只可开始不可终止
一触她的手指 我已叫嚷 
MORE MORE MORE
她只偏偏居于深宵脑波 
匆匆一刻她即飘过
只好天天等她进我梦 
MORE MORE
我这晚热辣辣YA YA 
你这晚热辣辣 HE YA
趁节拍热辣辣YA YA 
拥抱我身起舞吧
她的嘴巴低呼好吗跳吗 
她使身心不懂招架
她的嘴巴低呼好吗跳吗 
她使身心不懂招架
COME ON EVERYBODY NOW
我这晚热辣辣YA YA 
我这晚热辣辣 HE YA
我这晚热辣辣YA YA 

你这晚热辣辣 HE YA
趁节拍热辣辣
拥抱我身起舞吧

反斗星（谭咏麟）
反斗星郁身郁势总无定性
乱fing 乱挞乱拧
望到眼定
反斗星喜欢歌舞想创捷径
全凭劲舞盛名 
望到眼擎
步法精睇到震惊
劲夹醒 天生舞精 
大众承认
唏 轻轻松松 
扭一扭更劲
唏 开开心心 
扭一扭更热情

唏 轻轻松松 
扭一扭更劲
唏 开开心心 
扭一扭更热情

拧下
拧下
喂 咪笑我地 
任性
喂 咪笑我地 
任性
我好醒
唏 轻轻松松 
扭一扭更劲
唏 开开心心 
扭一扭更热情
唏 轻轻松松 
扭一扭更劲
唏 开开心心 
扭一扭更热情

头发乱了（张学友）
怎么我心情今晚撒觉
太黑了 你做错事了
怎么看你发绕又散了
一看表我大概心里知不妙
这晚你去过那里吧
与那个他静静弹着旧调
你坏了 说大概夜了 让你秀发乱了
急急撒娇: 背着我不敢轻佻
玩够了 请揭晓
你做错事了 让你秀发乱了
应对乱了
太过份了 恤衫反转着了
这些事差点不会猜到
但你对待我太好
偷欢后一般感到焦燥
需要找access~
这晚你对我说爱慕
当作恶补?赎罪?还是问路?
你坏了 说大概夜了 让你秀发乱了
急急撒娇: 背着我不敢轻佻
玩够了 请揭晓
你做错事了 让你秀发乱了
应对乱了
太过份了 恤衫反转着了

你坏了 说大概夜了 
让你秀发乱了
一边撒娇: 背着我不敢轻佻
玩够了 请揭晓
你做错事了 让你秀发乱了
应对乱了
太过份了 恤衫反转着 
你坏了 说大概夜了
让你秀发乱了
一边撒娇: 背着我不敢轻佻
玩够了 请揭晓
你做错事了 让你秀发乱了
应对乱了
太过份了 连声音都搞错了

好戏在后头（草蜢）
喝彩声音鼓掌声音回荡着余震
各位等等姑且忍忍先不要兴奋
各位少担心各位请安心情动若难禁
想干请干今晚怎干都不过分
我的表演这些表演其实是前戏
揭开画面请君主演演出这好戏
你不必假装你不必矫饰诚实做回你
要做快做不要等到青春过期
别理会几多分贝几多级数
一早撤消
让你玩得高兴即管尖叫
Yeah! Yeah! Yeah!
似跳了线（跳了线跳了线）
你要讲讲心声（讲心声讲心声）
今晚要发泄（要发泄要发泄）
不管好歹
Don't say goodbye
Hey! Hey! 我阵容强大
Hey! Hey! 统统演反派
Hey! Hey! 不需要太乖
乖乖满街街
已经不稀罕要特价平卖

做你这好戏这好戏
留下来做戏
这好戏这好戏
你的首本戏
做你这好戏这好戏
来做场大戏
Ladies and Gentlemen:
Hey! Hey! 
我阵容强大
Hey! Hey! 
统统演反派
Hey! Hey! 
不需要太乖
乖乖满街街
已经不稀罕要特价平卖
Hey! Hey!
我阵容强大
Hey! Hey! 
统统演反派
Hey! Hey! 
Hey! Hey! 
我阵容强大 
Hey! Hey!
统统演反派
Hey! Hey!
Hey! Hey!
你阵容强大
Hey! Hey!
Hey! Hey!
				",陈奕迅,,,,264,83
芳华绝代 (Live),DUO 陈奕迅2010演唱会,"
				词曲：曲:温应鸿 词:黄伟文 编:温应鸿
你想不想　吻一吻
倾国倾城　是我大名
蒙罗丽莎　只是一幅画
如何艳压天下
皇朝外的　伊莉莎白
谁来跪拜她
梦露若果　庄重高雅
何来绝世佳话
红颜　祸水    锦上添花
教你荡产倾家
唯独是　天姿国色　不可一世
天生我高贵艳丽到底
颠倒众生　吹灰不费
收你做我的迷
得我艳与天齐
你敢不敢　抱一抱
疯魔一时　是我罪名
罗兰自称　芳名苏菲亚　男孩就会倒下
如能获得　芭铎亲一下　铁塔亦会垮
怕你甚么　称王称霸　来臣服我之下
银河艳星　单人匹马　胜过漫天烟花
				",陈奕迅,"黃, 偉文 / WAN, ADKY",,,224,162
富士山下 (Live)MV,DUO 陈奕迅2010演唱会,"
				拦路雨偏似雪花 饮泣的你冻吗 
这风褛我给你磨到有襟花
连掉了渍也不怕 怎么始终牵挂 
苦心选中今天想车你回家

原谅我不再送花 伤口应要结疤 
花瓣铺满心里坟场才害怕 
如若你非我不嫁 彼此终必火化 
一生一世等一天需要代价

谁都只得那双手 靠拥抱亦难任你拥有 
要拥有必先懂失去怎接受
曾沿着雪路浪游 为何为好事泪流 
谁能凭爱意要富士山私有 

何不把悲哀感觉 假设是来自你虚构 
试管里找不到它染污眼眸
前尘硬化像石头 随缘地抛下便逃走 
点解每晚 都有咁样嘅嘢人 喺度嗌生晒

情人节不要说穿 只敢抚你发端 
这种姿态可会令你更心酸
留在汽车里取暖 应该怎么规劝 
怎么可以将手腕忍痛划损

人活到几岁算短 失恋只有更短 
归家需要几里路谁能预算 
忘掉我跟你恩怨 樱花开了几转 
东京之旅一早比一世遥远 

谁都只得那双手 靠拥抱亦难任你拥有 
要拥有必先懂失去怎接受
曾沿着雪路浪游 为何为好事泪流 
谁能凭爱意要富士山私有 

何不把悲哀感觉 假设是来自你虚构 
试管里找不到它染污眼眸
前尘硬化像石头 随缘地抛下便逃走 
我绝不罕有 往街里绕过一周 我便化乌有

你还嫌不够 我把这陈年风褛 送赠你解咒
				",陈奕迅,林夕,泽日生,,1016,221
不来也不去 (Live),DUO 陈奕迅2010演唱会,"
				陈奕迅 - 不来也不去
作曲：C. Y. Kong填词： 林夕
编曲：C. Y. in London
监制：C. Y. Kong / Davy Chan / Eason / Stanley Leung
专辑:陈奕迅2009 MOOV Live

music......
扬帆时  人潮没有你
我是我    和途人一起
停顿时    在你笑开的眼眉
望穿秋水之美
回程时    浪淘尽了你
任背影    长睡着不起
留下我    在粪土当中
翻检背囊    直到拾回自己

掌心因此多出一根刺
没有刺痛便懒知
就当共你 有旧情没有往事

如烟   因给你递过火
如火   却也没熔掉我
回望最初   当丧失是得着可不可
可痛若骊歌   乐如儿歌
像你没来过   没去过
谁同行    仍同样结尾
血液里    才遗传悲喜
谁亦难    避过这一身客尘
但刚巧出於你
垂头前   没缘份丧气
睡到醒   才站立得起
盲目过   便看到天机
反覆往来   又再做回自己

即使一生多出一根刺
没有刺痛别要知
就当共你    有剧情没有故事

如花   超生了没有果
如果   过路能重踏过
就当最初    是碎步湖上可不可
不种下甚麽    摘来甚麽
像我没来过    没去过
				",陈奕迅,"江, 志仁 / 梁, 偉文 (PKA 林夕)",,,1574,216
与我常在 (Live),DUO 陈奕迅2010演唱会,"
				在一起看每出戏在一起叹每口气
　　再细尝同偕到老的况味
　　每分钟也抱紧你没有一秒共你别离
　　还携手看着生与死

　　坐着卧着都分享日日夜夜也为彼此设想
　　站着望着都分享就在梦内发掘这真相
　　除非你是我才可与我常在

　　一个人从镜内发展恩爱
　　除非你是我才可昼夜同在
　　恋不来从厌倦里面偷取恨爱

　　在一起与你工作在一起与你摸索
　　两个人同时占有的快乐
　　每分钟与你挥霍
　　没有一秒没我在旁
　　还携手看着天空黑与光

　　在一起会有多美
　　在一起也会不美
　　一班人同偕到老不靠运气
				",陈奕迅,林夕,林健华,lom leber,947,148
我的快乐时代 (Live),DUO 陈奕迅2010演唱会,"
				<我的快乐年代>
曲：林健华
词：林  夕
编：林健华

让我有个美满旅程 
让我记着有多高兴
让我有勇气去喊停
没有结局也可即兴 
难堪的不想
只想痛快事情
时间尚早
别张开眼睛
长路漫漫是如何走过
宁愿让乐极忘形的我
离时代远远
没人间烟火
毫无代价唱最幸福的歌
愿我可

让我对这世界好奇
让我信自己的真理
让我有个永远假期
让我渴睡也可嬉戏
从今天开始
相识当作别离
时间就似活多一世纪
无论日夜是如何经过
宁愿在极乐当中的我
沉迷或放弃亦无可不可
毫无代价唱最幸福的
愿我可
唯求在某次尽情欢乐过
时间够了
时针偏偏出了错 

编辑人-Jason
				",陈奕迅,,,,926,132
歌·颂 (Live),DUO 陈奕迅2010演唱会,"
				歌.颂 - 陈奕迅

作曲/编曲/ 监制：王双骏　填词：林夕



它 倾倒你要经沮丧与兴奋
来自多少个极善感的心
谁把 感想 冥想出 快慢与起伏
经历高低牵引 催促它诞生

跃动时如火星 恬静时如水影
随着动脉尽把悲喜照明 掏尽你心声
开心处留仙境 伤心处融化心境
留下发泄的反省过程
纵使意难平  痛得高兴   

它 一小节也许足够你抖震
提炼於透视 寂寞的灵魂
从它 该知道你的快乐与不幸
一路有陌路人陪你这一生
为路途留灯影 为剧情留剪影
留下逐滴泪风干的旅程  留下你身影
为前尘留缩影 为未来留了光影
留下世界的兜转过程
每一拍为这时代做证

感谢永远有歌 把心境道破
哪论动或静 谁也有情 情绪有它抚摸



风景里随身听 思想里随心听
怀着万万万个心的结晶
炼成时代 最亮发声
它可以 高得掩盖炮火声
迷惑你耳朵呼吸性情
你想有共鸣 以心倾听
				",陈奕迅,林夕,王双骏,王双骏,830,107
